neighbourhood,price,avg_reviews,count
Bath Beach,84.8,24.2,15
Bay Ridge,105.37391304347825,22.765217391304347,115
Bedford-Stuyvesant,105.95893027698185,35.132760267430754,3141
Bensonhurst,77.21311475409836,30.24590163934426,61
Bergen Beach,105.75,25.625,8
Boerum Hill,167.76190476190476,29.217687074829932,147
Borough Park,64.4,20.29090909090909,110
Brighton Beach,87.28813559322033,22.83050847457627,59
Brooklyn Heights,201.95967741935485,20.60483870967742,124
Brownsville,76.05454545454545,34.70909090909091,55
Bushwick,85.1292481977343,27.038105046343976,1942
Canarsie,96.23703703703704,39.54074074074074,135
Carroll Gardens,178.8989898989899,29.782828282828284,198
Clinton Hill,176.15833333333333,30.3875,480
Cobble Hill,193.4318181818182,32.81818181818182,88
Columbia St,133.57142857142858,19.571428571428573,35
Coney Island,125.6,24.866666666666667,15
Crown Heights,111.63083003952569,28.78102766798419,1265
Cypress Hills,130.968,35.856,125
DUMBO,178.375,57.583333333333336,24
Downtown Brooklyn,152.28070175438597,20.842105263157894,57
Dyker Heights,95.0909090909091,37.72727272727273,11
East Flatbush,106.65727699530517,28.42488262910798,426
East New York,87.1875,35.203125,192
Flatbush,94.55443548387096,25.681451612903224,496
Flatlands,97.93939393939394,27.863636363636363,66
Fort Greene,153.8927680798005,26.453865336658353,401
Fort Hamilton,95.13333333333334,16.555555555555557,45
Gowanus,154.99519230769232,37.0625,208
Gravesend,73.18604651162791,31.069767441860463,43
Greenpoint,144.4353348729792,22.43187066974596,866
Kensington,88.19285714285714,21.228571428571428,140
Manhattan Beach,107.0,57.857142857142854,7
Midwood,76.62962962962963,20.432098765432098,81
Mill Basin,179.75,17.25,4
Navy Yard,151.91666666666666,20.916666666666668,12
Park Slope,169.85853658536584,35.702439024390245,410
Prospect Heights,148.74918566775244,35.42345276872964,307
Prospect-Lefferts Gardens,106.9554565701559,31.293986636971045,449
Red Hook,136.57575757575756,34.28787878787879,66
Sea Gate,482.5,2.5,4
Sheepshead Bay,102.04761904761905,25.88888888888889,126
South Slope,146.02857142857144,42.46938775510204,245
Sunset Park,110.66037735849056,24.78616352201258,318
Vinegar Hill,172.69230769230768,20.96153846153846,26
Williamsburg,139.8125197597218,27.008220044261776,3163
Windsor Terrace,130.6875,33.78125,128
